user;assistant;contexto
Tem aplicativo móvel?;Sim, com apps para iOS e Android com todas as funcionalidades.;Mobile
Como é o processo de mudança?;Mudamos todos os seus dados sem custo em 2 semanas.;Implementação
O bitrix tem automação de marketing?;Sim, com email marketing, segmentação e nurturing automáticos.;Marketing
Preciso de formação para usar?;Oferecemos formação completa incluída no pacote.;Suporte
Tem integração com WhatsApp?;Sim, integração nativa para atendimento ao cliente.;Integrações
Como são os relatórios?;Relatórios inteligentes com insights automáticos sobre performance.;Analytics
O que é a scriptai?;Especialista em gestão de redes sociais com IA, criando conteúdo e estratégias personalizadas.;FAQ Geral
Quais redes sociais vocês gerem?;Instagram, Facebook, LinkedIn, TikTok, YouTube e Pinterest.;Redes Sociais
Como é cobrado o serviço?;Planos desde €150/mês (Bronze) até €600/mês (Diamante).;Planos
O que inclui o Plano Prata?;Gestão de 3 redes, 16 posts/mês, 8 stories/semana e 1 reel/mês por €250/mês.;Planos
Vocês criam conteúdo visual?;Sim, com designers profissionais usando Adobe Suite e Canva.;Conteúdo
Como medem os resultados?;Com Google Analytics, Meta Suite e relatórios personalizados de ROI.;Métricas
Tem suporte 24/7?;No Plano Diamante, com gestor dedicado e suporte VIP.;Suporte
Fazem campanhas pagas?;Sim, em todos os planos acima do Bronze, com otimização contínua.;Publicidade
Como é o calendário de posts?;Criamos calendário editorial alinhado à sua identidade visual.;Estratégia
Vocês usam IA?;Sim, com agentes de IA para automação e análise preditiva.;Tecnologia
Quanto tempo para ver os resultados?;Em média, clientes veem aumento de interação em 4-8 semanas.;Resultados
Trabalham com e-commerce?;Sim, criamos estratégias para lojas online com foco em conversão.;E-commerce
Fazem gestão de reviews?;Sim, monitorizamos e respondemos a todos os comentários.;Reputação
Tem contrato mínimo?;Todos os planos exigem fidelização de 6 meses.;Contratos
Como é o atendimento ao cliente?;Resposta até 12h (Prata) ou 24h (Bronze).;Suporte
Vocês publicam nos Stories?;Sim, desde 4 stories/semana (Bronze) até diários (Diamante).;Conteúdo
Fazem vídeos para TikTok?;Sim, com conteúdo viral e participação em desafios.;TikTok
Tem dashboard de acompanhamento?;Sim, com metas em tempo real nos planos Ouro e Diamante.;Analytics
Como é o processo criativo?;Baseado em análise de público, concorrência e tendências.;Estratégia
Vocês fazem SEO para YouTube?;Sim, com otimização de títulos, tags e descrições.;YouTube
Oferecem consultoria gratuita?;Sim, com análise inicial sem compromisso.;Consultoria
Tem desconto para contrato anual?;Sim, oferecemos 10% de desconto para pagamento anual.;Promoções
Como lidam com crises de imagem?;Com protocolos de resposta rápida e comunicação transparente.;Reputação
Fazem gestão de influenciadores?;Sim, identificamos e gerimos parcerias estratégicas.;Influencers
Vocês criam anúncios?;Sim, desde a criação até à gestão e otimização de campanhas.;Publicidade
Tem relatórios de concorrentes?;Sim, incluímos benchmarking competitivo nos planos Prata+.;Analítica
Fazem diretos?;Sim, nos planos Diamante (2 lives/mês).;Conteúdo
Como é a interação com os seguidores?;Resposta personalizada e construção de relacionamento.;Engajamento
Vocês publicam aos fins de semana?;Sim, conforme estratégia definida no calendário editorial.;Posting
Tem criação de logotipo?;Não, mas podemos indicar parceiros para identidade visual.;Serviços
Fazem gestão de Google Meu Negócio?;Não, mas damos orientações para otimização.;Serviços
Qual horário de atendimento?;Seg-Sex, 9h-18h (exceto Plano Diamante 24/7).;Suporte
Aceitam pagamento por MBWay?;Sim, aceitamos MBWay, transferência e cartão.;Pagamentos
Tem casos de sucesso em restaurantes?;Sim, um cliente teve 45% mais movimento e 200 reservas/mês via Instagram.;Casos
Como aumentar seguidores orgânicos?;Com conteúdo relevante, interação constante e estratégias de growth.;Crescimento
Posso cancelar a qualquer momento?;Após os 6 meses iniciais, sem multa.;Contratos
Quero falar com um operador;Sem problemas! Vou transferi-lo para um operador humano. Por favor, informe o motivo do contato para agilizar o atendimento.;Escalonamento
Preciso falar com um responsável;Claro! Encaminharei a sua solicitação para um responsável. Poderia informar-me o assunto para o direcionarmos corretamente?;Escalonamento
Posso falar com alguém da equipa?;Sim! Um membro da nossa equipa entrará em contato em breve. Qual o melhor canal para retorno?;Escalonamento
Quero atendimento humano;Entendido! Vou transferir a sua conversa para um operador humano. Aguarde um momento, por favor.;Escalonamento
Tem alguém aí de verdade?;Sim! Caso prefira atendimento humano, posso transferir agora mesmo. Deseja continuar?;Escalonamento
Quero falar com o gerente;Certo! Encaminharei a sua solicitação ao operador responsável. Por favor, informe o motivo do contato.;Escalonamento
Quero falar com um consultor;Combinado! Um consultor especializado irá atendê-lo em instantes. Pode detalhar a sua necessidade?;Escalonamento
